full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"Quotation for condensing high-efficiency boiler 95% AFUE for ventilation air preheat system. Includes gas piping, venting and combustion air provisions. per project specification Section 23 70 00.",23,70,23 70,quotation condense high efficiency boiler afue ventilation air preheat system include gas piping venting combustion air provision project specification section,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
"Subject: Material Submittal – Furnish and install wood stain and polyurethane finish for millwork as indicated on drawings and per project specification Section 09 90 00. Includes surface preparation, sanding and priming.",09,90,09 90,subject material submittal furnish install wood stain polyurethane finish millwork indicate drawing project specification section include surface preparation sand prim,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Quotation for high-early-strength concrete for fast-track construction for concrete topping slab over metal deck. Portland cement Type I/II with 3/4 inch maximum aggregate. conforming to ASTM C94 ready-mixed concrete standard.,03,30,03 30,quotation high early strength concrete fast track construction concrete topping slab metal deck portland cement type ii inch maximum aggregate conforming astm c ready mixed concrete standard,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
VENDOR SUBMITTAL: Quotation for split-system DX cooling unit with condenser for data center and server room cooling. Vibration isolation pads and curb adapter included. per ASHRAE 90.1 minimum efficiency requirements.,23,60,23 60,vendor submittal quotation split system dx cool unit condenser datum center server room cool vibration isolation pad curb adapter include ashrae minimum efficiency requirement,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"RE: Windows – Quotation for blast-resistant security window assemblies for residential tower window replacement. Includes all sealants, flashing and perimeter caulking. per energy code and ASHRAE 90.1 requirements.",08,50,08 50,window quotation blast resistant security window assembly residential tower window replacement include sealant flash perimeter caulking energy code ashrae requirement,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Provide all labor, materials and equipment for exterior LED wall pack and pole-mounted fixtures for parking garage and canopy lighting. per DesignLights Consortium (DLC) qualified products list. Color temperature: 4000K for offices, 3000K for corridors.",26,50,26 50,provide labor material equipment exterior lead wall pack pole mount fixture parking garage canopy lighting designlight consortium dlc qualified product list color temperature k office k corridor,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
Furnish and install wired glass for fire-rated openings as indicated on drawings and per glazing contractor shop drawings. Glass to meet ANSI Z97.1 safety glazing requirements.,08,80,08 80,furnish install wire glass fire rat opening indicate drawing glaze contractor shop drawing glass meet ansi z safety glazing requirement,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
PROJECT PROPOSAL: Scope of work includes supply and installation of fire-rated steel doors and frames 90-minute for interior and exterior door openings per door schedule. Finish: factory-applied powder coat paint.,08,10,08 10,project proposal scope work include supply installation fire rat steel door frame minute interior exterior door opening door schedule finish factory apply powder coat paint,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
Furnish and install flexible insulated duct for branch connections as indicated on drawings and per project specification Section 23 30 00. TAB (Testing Adjusting Balancing) included in scope.,23,30,23 30,furnish install flexible insulate duct branch connection indicate drawing project specification section tab testing adjust balancing include scope,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
PROJECT PROPOSAL: Supply and install distribution panelboard 225A 208/120V for main electrical service and distribution. Load bank testing and startup by factory technician. per NEC Article 230 (Services) and 240 (Overcurrent Protection).,26,20,26 20,project proposal supply install distribution panelboard v main electrical service distribution load bank testing startup factory technician nec article service overcurrent protection,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Request for approval: bentonite clay waterproofing panels for use for below-grade foundation walls and footings. Includes protection board and drainage composite. per manufacturer installation guidelines.,07,10,07 10,request approval bentonite clay waterproofing panel use grade foundation wall footing include protection board drainage composite manufacturer installation guideline,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"Provide all labor, materials and equipment for cellular metal floor deck for electrical raceway for metal building roof deck replacement. per SDI (Steel Deck Institute) standards. Minimum bearing length 2 inches on structural steel supports.",05,30,05 30,provide labor material equipment cellular metal floor deck electrical raceway metal building roof deck replacement sdi steel deck institute standard minimum bearing length inch structural steel support,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
RE: Cast-in-Place Concrete – Vendor submittal: air-entrained concrete for exterior flatwork. Water-to-cement ratio not to exceed 0.45. per ACI 318 and ACI 301 specifications.,03,30,03 30,cast place concrete vendor submittal air entrain concrete exterior flatwork water cement ratio exceed aci aci specification,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Furnish and install steam-to-hot-water heat exchanger as indicated on drawings and per AHRI certified heating capacity ratings. Controls integrated with building automation system (BAS).,23,70,23 70,furnish install steam hot water heat exchanger indicate drawing ahri certify heating capacity rating control integrate building automation system bas,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
PROJECT PROPOSAL: Subcontractor bid for rigid XPS foam insulation board 2-inch thick. Location: for mechanical room pipe and duct insulation. Fire rating: Class A flame spread per ASTM E84.,07,20,07 20,project proposal subcontractor bid rigid xps foam insulation board inch thick location mechanical room pipe duct insulation fire rating class flame spread astm e,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
This submittal covers the supply and installation of tempered safety glass panels for fire-rated glazing at rated corridors. All work to comply with per glazing contractor shop drawings. Glass to meet ANSI Z97.1 safety glazing requirements.,08,80,08 80,submittal cover supply installation temper safety glass panel fire rat glazing rat corridor work comply glaze contractor shop drawing glass meet ansi z safety glazing requirement,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
This submittal covers the supply and placement of exposed aggregate decorative concrete for building foundations and footings. All work to comply with per ACI 318 and ACI 301 specifications. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,30,03 30,submittal cover supply placement expose aggregate decorative concrete build foundation footing work comply aci aci specification concrete cure wet burlap plastic sheet day,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Material submittal for metal deck shear studs and connectors. Includes temporary shoring during concrete placement. Refer to per project specification Section 05 30 00.,05,30,05 30,material submittal metal deck shear stud connector include temporary shoring concrete placement refer project specification section,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
RE: Low-Voltage Electrical Distribution – Quotation for automatic transfer switch (ATS) 400A for emergency and standby power system. Equipment to be UL 891 listed and labeled. per project specification Section 26 20 00.,26,20,26 20,low voltage electrical distribution quotation automatic transfer switch at emergency standby power system equipment ul list label project specification section,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Furnish and install supply air diffusers and return air grilles as indicated on drawings and per SMACNA HVAC Duct Construction Standards. Insulation: 2-inch fiberglass duct wrap with vapor barrier.,23,30,23 30,furnish install supply air diffuser return air grille indicate drawing smacna hvac duct construction standard insulation inch fiberglass duct wrap vapor barrier,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
This submittal covers the installation of insulated chilled water piping for plumbing for restroom and kitchen plumbing rough-in. All work to comply with per ASME B31.9 building services piping. Insulation on all hot and cold water piping per specification.,22,10,22 10,submittal cover installation insulated chill water piping plumbing restroom kitchen plumb rough work comply asme b building service pip insulation hot cold water piping specification,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
"Provide all labor, materials and equipment for galvanized structural steel for exterior for lateral bracing system per seismic design. per project specification Section 05 10 00. All connections per AISC standards and structural drawings.",05,10,05 10,provide labor material equipment galvanized structural steel exterior lateral bracing system seismic design project specification section connection aisc standard structural drawing,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
Vendor submittal: thermostatic mixing valve station. Manufacturer factory startup and commissioning required. per project specification Section 22 30 00.,22,30,22 30,vendor submittal thermostatic mixing valve station manufacturer factory startup commission require project specification section,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
"PROJECT PROPOSAL: Vendor submittal: roofing insulation tapered cricket system. Insulation R-30 minimum per energy code, tapered for drainage. per project specification Section 07 50 00.",07,50,07 50,project proposal vendor submittal roofing insulation taper cricket system insulation r minimum energy code taper drainage project specification section,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
This submittal covers the procurement and installation of fixed aluminum picture windows for exterior building facade per window schedule. All work to comply with per project specification Section 08 50 00. Windows to be factory-assembled and glazed.,08,50,08 50,submittal cover procurement installation fix aluminum picture window exterior building facade window schedule work comply project specification section window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Provide all labor, materials and equipment for metal roof deck 1.5-inch Type B 22 gauge for mezzanine floor deck. per SDI (Steel Deck Institute) standards. Includes all side laps, end laps, and pour stop angles.",05,30,05 30,provide labor material equipment metal roof deck inch type b gauge mezzanine floor deck sdi steel deck institute standard include lap end lap pour stop angle,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Subcontractor bid for LED recessed troffer light fixtures 2x4. Location: for exterior site and building-mounted lighting. All fixtures to be LED with minimum 50,000-hour rated life.",26,50,26 50,subcontractor bid lead recess troffer light fixture x location exterior site building mount light fixture lead minimum hour rat life,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"This submittal covers the furnishing and placement of foundation footing formwork for basement foundation walls. All work to comply with conforming to OSHA shoring requirements. Includes form stripping, cleaning, and concrete surface patching.",03,10,03 10,submittal cover furnishing placement foundation footing formwork basement foundation wall work comply conform osha shoring requirement include form strip cleaning concrete surface patching,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
This submittal covers the supply and installation of seismic bracing for electrical equipment for electrical raceway and wiring infrastructure. All work to comply with per project specification Section 26 05 00. Conduit fill not to exceed 40% per NEC Chapter 9.,26,05,26 05,submittal cover supply installation seismic bracing electrical equipment electrical raceway wiring infrastructure work comply project specification section conduit fill exceed nec chapter,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
BID ITEM: Scope of work includes furnishing and installing of blown-in cellulose insulation for attic spaces for exterior wall cavities and stud bays. Fire rating: Class A flame spread per ASTM E84.,07,20,07 20,bid item scope work include furnish installing blow cellulose insulation attic space exterior wall cavity stud bay fire rating class flame spread astm e,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Scope of work includes fabrication and installation of duct-mounted fire and smoke dampers for rooftop air handling unit connections. Ductwork fabricated per SMACNA standards.,23,30,23 30,scope work include fabrication installation duct mount fire smoke damper rooftop air handling unit connection ductwork fabricate smacna standard,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
Scope of work includes furnishing and pulling of cable tray system ladder type with covers for power distribution conduit and wire pulls. As-built drawings required showing all concealed raceway routing.,26,05,26 05,scope work include furnish pulling cable tray system ladder type cover power distribution conduit wire pull build drawing require show conceal raceway routing,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Quotation for overhead coiling steel service doors for interior and exterior door openings per door schedule. Frames to be set and grouted plumb and square. per door and hardware schedule on drawings.,08,10,08 10,quotation overhead coil steel service door interior exterior door opening door schedule frame set grout plumb square door hardware schedule drawing,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
PROJECT PROPOSAL: Scope of work includes furnishing and erection of structural steel canopy framing for loading dock steel structure. All connections per AISC standards and structural drawings.,05,10,05 10,project proposal scope work include furnish erection structural steel canopy frame load dock steel structure connection aisc standard structural drawing,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
Supply and install packaged rooftop air conditioning unit 25-ton for data center and server room cooling. Vibration isolation pads and curb adapter included. per AHRI certified performance ratings.,23,60,23 60,supply install package rooftop air conditioning unit ton datum center server room cool vibration isolation pad curb adapter include ahri certify performance rating,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
supply and installation of glass mat gypsum sheathing for exterior including all necessary accessories and hardware. per GA (Gypsum Association) Fire Resistance Design Manual.,09,20,09 20,supply installation glass mat gypsum sheathe exterior include necessary accessory hardware ga gypsum association fire resistance design manual,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"Furnish and install steel access hatches and floor plates as indicated on drawings and per ADA and local building code requirements. Includes all anchors, fasteners and connection hardware.",05,50,05 50,furnish install steel access hatch floor plate indicate drawing ada local building code requirement include anchor fastener connection hardware,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
PROJECT PROPOSAL: This submittal covers the furnishing and setting of automatic sensor faucets and flush valves for public restrooms per fixture schedule. All work to comply with per ADA and ICC/ANSI A117.1 accessibility standard. ADA fixtures mounted at heights per accessibility code.,22,40,22 40,project proposal submittal cover furnish setting automatic sensor faucet flush valve public restroom fixture schedule work comply ada icc ansi accessibility standard ada fixture mount height accessibility code,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
"Request for approval: structural steel canopy framing for use for main building structural frame. Includes shop drawings, erection drawings and mill certificates. per project specification Section 05 10 00.",05,10,05 10,request approval structural steel canopy frame use main building structural frame include shop drawing erection drawing mill certificate project specification section,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
furnishing and finishing of abuse-resistant gypsum board for corridors including all necessary accessories and hardware. per project specification Section 09 20 00.,09,20,09 20,furnish finishing abuse resistant gypsum board corridor include necessary accessory hardware project specification section,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Request for approval: rebar dowels and starter bars for use for elevated concrete slab reinforcement. Mill certifications required for all reinforcing steel. per ACI 318-19 and project structural drawings.,03,20,03 20,request approval rebar dowel starter bar use elevated concrete slab reinforcement mill certification require reinforce steel aci project structural drawing,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Vendor submittal: solid core wood doors with hardware. Fire-rated assemblies with UL listed label. per NFPA 80 fire door assembly standards.,08,10,08 10,vendor submittal solid core wood door hardware fire rat assembly ul list label nfpa fire door assembly standard,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
This submittal covers the procurement and mounting of emergency eyewash and shower station for janitor closets and service areas. All work to comply with per ADA and ICC/ANSI A117.1 accessibility standard. All fixtures to be water-efficient per WaterSense label.,22,40,22 40,submittal cover procurement mounting emergency eyewash shower station janitor closet service area work comply ada icc ansi accessibility standard fixture water efficient watersense label,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
"Vendor submittal: epoxy-coated rebar for exposed concrete. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs. per ASTM A615 Grade 60 specifications.",03,20,03 20,vendor submittal epoxy coat rebar expose concrete minimum concrete cover inch footing inch slab astm grade specification,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Proposal for glazing of back-painted decorative glass panels for canopy and skylight overhead glazing. Includes structural silicone sealant for wet glazing.,08,80,08 80,proposal glazing paint decorative glass panel canopy skylight overhead glazing include structural silicone sealant wet glazing,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
"Proposal for delivery and setting of vinyl casement windows with Low-E glass for office and classroom window openings. U-factor 0.30 maximum, SHGC 0.25 maximum per energy code.",08,50,08 50,proposal delivery setting vinyl casement window low e glass office classroom window opening u factor maximum shgc maximum energy code,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
RE: Windows – Subcontractor bid for curtain wall window system unitized. Location: for hospital patient room exterior windows. Windows to be factory-assembled and glazed.,08,50,08 50,windows subcontractor bid curtain wall window system unitized location hospital patient room exterior window window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Supply and install EPDM rubber roofing membrane fully adhered for rooftop mechanical equipment area. Membrane to be mechanically fastened or fully adhered per wind uplift. per project specification Section 07 50 00.,07,50,07 50,supply install epdm rubber roof membrane fully adhere rooftop mechanical equipment area membrane mechanically fasten fully adhere wind uplift project specification section,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
"Request for approval: post-tensioning tendons and anchors for use for concrete columns and beams. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs. per ACI 318-19 and project structural drawings.",03,20,03 20,request approval post tensione tendon anchor use concrete column beam minimum concrete cover inch footing inch slab aci project structural drawing,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
"Provide all labor, materials and equipment for traffic-bearing waterproofing for parking deck for below-grade foundation walls and footings. per project specification Section 07 10 00. Surface preparation includes primer coat as recommended by manufacturer.",07,10,07 10,provide labor material equipment traffic bearing waterproof parking deck grade foundation wall footing project specification section surface preparation include primer coat recommend manufacturer,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"Furnish and install radiant ceiling panel heating system as indicated on drawings and per ASME Boiler and Pressure Vessel Code for boilers. Expansion tank, air separator and chemical feeder included.",23,70,23 70,furnish install radiant ceiling panel heating system indicate drawing asme boiler pressure vessel code boiler expansion tank air separator chemical feeder include,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
supply and installation of headed reinforcing bar anchors including all necessary accessories and hardware. per CRSI Manual of Standard Practice.,03,20,03 20,supply installation head reinforce bar anchor include necessary accessory hardware crsi manual standard practice,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
PROJECT PROPOSAL: Furnish and install welded wire reinforcement WWR 6x6-W2.9xW2.9 as indicated on drawings and in accordance with Section 03 20 00. Rebar to be shop-fabricated and tagged per bar schedule.,03,20,03 20,project proposal furnish install weld wire reinforcement wwr x w xw indicate drawing accordance section rebar shop fabricate tag bar schedule,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Subcontractor bid for tankless instantaneous water heater. Location: for building water treatment and softening. 5-year manufacturer warranty on heat exchanger.,22,30,22 30,subcontractor bid tankless instantaneous water heater location build water treatment soften year manufacturer warranty heat exchanger,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
pouring and curing of concrete pump truck and placement services including all necessary accessories and hardware. per project specification Section 03 30 00.,03,30,03 30,pour curing concrete pump truck placement service include necessary accessory hardware project specification section,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
BID ITEM: application of traffic-bearing waterproofing for parking deck including all necessary accessories and hardware. conforming to local building code moisture protection requirements.,07,10,07 10,bid item application traffic bearing waterproof parking deck include necessary accessory hardware conform local building code moisture protection requirement,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
Request for approval: metal deck shear studs and connectors for use for metal building roof deck replacement. Deck to be welded to supports at 12 inches on center. per project specification Section 05 30 00.,05,30,05 30,request approval metal deck shear stud connector use metal building roof deck replacement deck weld support inch center project specification section,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Scope of work includes procurement and installation of cooling tower induced draft crossflow for tenant space supplemental cooling. Factory startup and commissioning by manufacturer representative.,23,60,23 60,scope work include procurement installation cool tower induce draft crossflow tenant space supplemental cool factory startup commission manufacturer representative,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"RE: Plumbing Piping and Pumps – Material submittal for PVC DWV drain, waste and vent piping. Includes all valves, supports, hangers and seismic bracing. Refer to per project specification Section 22 10 00.",22,10,22 10,plumb piping pump material submittal pvc dwv drain waste vent piping include valve support hanger seismic bracing refer project specification section,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
Request for approval: aluminum storefront entry doors for use for warehouse and loading dock openings. Frames to be set and grouted plumb and square. per door and hardware schedule on drawings.,08,10,08 10,request approval aluminum storefront entry door use warehouse load dock opening frame set grout plumb square door hardware schedule drawing,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Provide all labor, materials and equipment for outside air louvers with bird screen for commercial kitchen ventilation system. per project specification Section 23 30 00. Ductwork fabricated per SMACNA standards.",23,30,23 30,provide labor material equipment outside air louver bird screen commercial kitchen ventilation system project specification section ductwork fabricate smacna standard,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
Proposal for shop fabrication and field erection of steel moment frame connections for main building structural frame. All connections per AISC standards and structural drawings.,05,10,05 10,proposal shop fabrication field erection steel moment frame connection main building structural frame connection aisc standard structural drawing,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
VENDOR SUBMITTAL: This submittal covers the supply and installation of veneer plaster system over blueboard for bathroom and kitchen wet-area walls. All work to comply with per GA (Gypsum Association) Fire Resistance Design Manual. Partitions to achieve fire rating per UL assembly design.,09,20,09 20,vendor submittal submittal cover supply installation veneer plaster system blueboard bathroom kitchen wet area wall work comply ga gypsum association fire resistance design manual partition achieve fire rating ul assembly design,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
VENDOR SUBMITTAL: Request for approval: self-consolidating concrete (SCC) for use for slab-on-grade in warehouse area. Water-to-cement ratio not to exceed 0.45. per project specification Section 03 30 00.,03,30,03 30,vendor submittal request approval self consolidate concrete scc use slab grade warehouse area water cement ratio exceed project specification section,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"Quotation for steel access hatches and floor plates for building perimeter bollard protection. Includes all anchors, fasteners and connection hardware. per architectural detail drawings.",05,50,05 50,quotation steel access hatch floor plate build perimeter bollard protection include anchor fastener connection hardware architectural detail drawing,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Subcontractor bid for metal deck pour stops and closures. Location: for parking garage composite deck system. Minimum bearing length 2 inches on structural steel supports.,05,30,05 30,subcontractor bid metal deck pour stop closure location parking garage composite deck system minimum bearing length inch structural steel support,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
furnishing and commissioning of air-cooled scroll chiller 100-ton capacity including all necessary accessories and hardware. per ASHRAE 90.1 minimum efficiency requirements.,23,60,23 60,furnish commissioning air cool scroll chiller ton capacity include necessary accessory hardware ashrae minimum efficiency requirement,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
Proposal for delivery and startup of water softener and treatment system for drinking water cooling and dispensing. Unit to be seismic-rated for installation zone.,22,30,22 30,proposal delivery startup water softener treatment system drink water cooling dispense unit seismic rat installation zone,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Quotation for galvanized corrugated steel decking for composite floor system at all elevated levels. Includes temporary shoring during concrete placement. per SDI (Steel Deck Institute) standards.,05,30,05 30,quotation galvanized corrugated steel decking composite floor system elevated level include temporary shoring concrete placement sdi steel deck institute standard,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"BID ITEM: Subcontractor bid for roof walkway pads and protection mats. Location: for low-slope roof area approximately 45,000 square feet. Membrane to be mechanically fastened or fully adhered per wind uplift.",07,50,07 50,bid item subcontractor bid roof walkway pad protection mat location low slope roof area approximately square foot membrane mechanically fasten fully adhere wind uplift,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Proposal for application of fluid-applied rubberized asphalt waterproofing for elevator pit and mechanical room. Surface preparation includes primer coat as recommended by manufacturer.,07,10,07 10,proposal application fluid apply rubberize asphalt waterproof elevator pit mechanical room surface preparation include primer coat recommend manufacturer,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"BID ITEM: Quotation for high-performance epoxy wall coating for wet areas for exposed structural steel fireproofing. Includes surface preparation, sanding and priming. per project specification Section 09 90 00.",09,90,09 90,bid item quotation high performance epoxy wall coat wet area expose structural steel fireproofing include surface preparation sand prim project specification section,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
placement of fiber reinforcing mesh for slab-on-grade including all necessary accessories and hardware. in accordance with Section 03 20 00.,03,20,03 20,placement fiber reinforce mesh slab grade include necessary accessory hardware accordance section,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
"Provide all labor, materials and equipment for crystalline waterproofing admixture for concrete for below-grade foundation walls and footings. per ASTM D6153 for liquid-applied waterproofing. Includes protection board and drainage composite.",07,10,07 10,provide labor material equipment crystalline waterproofing admixture concrete grade foundation wall footing astm d liquid apply waterproofing include protection board drainage composite,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
SCOPE OF WORK DESCRIPTION: Vendor submittal: steel braced frame lateral system. Steel to be blast-cleaned and primed with shop primer. conforming to AWS D1.1 for welded connections.,05,10,05 10,scope work description vendor submittal steel braced frame lateral system steel blast clean prim shop primer conform aw d weld connection,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
VENDOR SUBMITTAL: Proposal for procurement and installation of sheet vinyl flooring for healthcare corridors for office spaces and conference rooms. Moisture testing required per ASTM F2170 before installation.,09,60,09 60,vendor submittal proposal procurement installation sheet vinyl flooring healthcare corridor office space conference room moisture testing require astm f installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
VENDOR SUBMITTAL: Material submittal for mini-split ductless air conditioning system. Controls: BACnet compatible DDC for building automation integration. Refer to per mechanical schedule on drawings.,23,60,23 60,vendor submittal material submittal mini split ductless air conditioning system control bacnet compatible ddc building automation integration refer mechanical schedule drawing,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
Subcontractor bid for steel fixed-lite windows for industrial. Location: for residential tower window replacement. Color: clear anodized aluminum or custom RAL color.,08,50,08 50,subcontractor bid steel fix lite window industrial location residential tower window replacement color clear anodized aluminum custom ral color,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Scope of work includes delivery and startup of expansion tank for domestic water system for drinking water cooling and dispensing. Unit to be seismic-rated for installation zone.,22,30,22 30,scope work include delivery startup expansion tank domestic water system drink water cooling dispense unit seismic rat installation zone,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Subcontractor bid for rigid XPS foam insulation board 2-inch thick. Location: for exterior wall cavities and stud bays. R-value verified by third-party testing per ASTM C518.,07,20,07 20,subcontractor bid rigid xps foam insulation board inch thick location exterior wall cavity stud bay r value verify party testing astm c,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
installation of polished concrete floor with densifier and sealer including all necessary accessories and hardware. per TCNA Handbook for tile installations.,09,60,09 60,installation polished concrete floor densifier sealer include necessary accessory hardware tcna handbook tile installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Vendor submittal: automatic transfer switch (ATS) 400A. Arc flash study and labels required per NFPA 70E. per NFPA 110 for emergency power systems.,26,20,26 20,vendor submittal automatic transfer switch at arc flash study label require nfpa e nfpa emergency power system,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
supply and installation of main electrical switchboard 2000A 480/277V including all necessary accessories and hardware. per project specification Section 26 20 00.,26,20,26 20,supply installation main electrical switchboard v include necessary accessory hardware project specification section,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
"Subject: Material Submittal – Provide all labor, materials and equipment for metal roof deck 1.5-inch Type B 22 gauge for composite floor system at all elevated levels. per composite design per AISC 360 Chapter I. Includes all side laps, end laps, and pour stop angles.",05,30,05 30,subject material submittal provide labor material equipment metal roof deck inch type b gauge composite floor system elevated level composite design aisc chapter include lap end lap pour stop angle,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Scope of work includes furnishing and finishing of sound-rated gypsum board assembly STC 50 for fire-rated corridor and stairwell assemblies. Metal studs at 16 inches on center, bridging at mid-height.",09,20,09 20,scope work include furnish finishing sound rat gypsum board assembly stc fire rat corridor stairwell assembly metal stud inch center bridge mid height,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
RE: Lighting – This submittal covers the supply and installation of parking garage LED fixtures with daylight sensor for exterior site and building-mounted lighting. All work to comply with per NEC Article 410 and local energy code. Includes dimming drivers compatible with 0-10V control system.,26,50,26 50,light submittal cover supply installation parking garage lead fixture daylight sensor exterior site building mount light work comply nec article local energy code include dim driver compatible v control system,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"SCOPE OF WORK DESCRIPTION: Supply and install explosion-proof lighting for hazardous locations for warehouse and industrial high-bay areas. Color temperature: 4000K for offices, 3000K for corridors. per NEC Article 410 and local energy code.",26,50,26 50,scope work description supply install explosion proof light hazardous location warehouse industrial high bay area color temperature k office k corridor nec article local energy code,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"RE: Plaster and Gypsum Board – Supply and install shaft wall liner and C-H stud system for fire-rated corridor and stairwell assemblies. Metal studs at 16 inches on center, bridging at mid-height. per ASTM C840 gypsum board application standard.",09,20,09 20,plaster gypsum board supply install shaft wall liner c h stud system fire rat corridor stairwell assembly metal stud inch center bridge mid height astm c gypsum board application standard,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
