full_item,stage1_code,stage1_name,stage2_code,stage2_name,stage1_label,stage2_label
"Provide all labor, materials and equipment for cellular metal floor deck for electrical raceway for metal building roof deck replacement. per SDI (Steel Deck Institute) standards. Minimum bearing length 2 inches on structural steel supports.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
RE: Cast-in-Place Concrete – Vendor submittal: air-entrained concrete for exterior flatwork. Water-to-cement ratio not to exceed 0.45. per ACI 318 and ACI 301 specifications.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Furnish and install steam-to-hot-water heat exchanger as indicated on drawings and per AHRI certified heating capacity ratings. Controls integrated with building automation system (BAS).,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
PROJECT PROPOSAL: Subcontractor bid for rigid XPS foam insulation board 2-inch thick. Location: for mechanical room pipe and duct insulation. Fire rating: Class A flame spread per ASTM E84.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
This submittal covers the supply and installation of tempered safety glass panels for fire-rated glazing at rated corridors. All work to comply with per glazing contractor shop drawings. Glass to meet ANSI Z97.1 safety glazing requirements.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
This submittal covers the supply and placement of exposed aggregate decorative concrete for building foundations and footings. All work to comply with per ACI 318 and ACI 301 specifications. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Material submittal for metal deck shear studs and connectors. Includes temporary shoring during concrete placement. Refer to per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
RE: Low-Voltage Electrical Distribution – Quotation for automatic transfer switch (ATS) 400A for emergency and standby power system. Equipment to be UL 891 listed and labeled. per project specification Section 26 20 00.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Furnish and install supply air diffusers and return air grilles as indicated on drawings and per SMACNA HVAC Duct Construction Standards. Insulation: 2-inch fiberglass duct wrap with vapor barrier.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
This submittal covers the installation of insulated chilled water piping for plumbing for restroom and kitchen plumbing rough-in. All work to comply with per ASME B31.9 building services piping. Insulation on all hot and cold water piping per specification.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"Provide all labor, materials and equipment for galvanized structural steel for exterior for lateral bracing system per seismic design. per project specification Section 05 10 00. All connections per AISC standards and structural drawings.",05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Vendor submittal: thermostatic mixing valve station. Manufacturer factory startup and commissioning required. per project specification Section 22 30 00.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
"PROJECT PROPOSAL: Vendor submittal: roofing insulation tapered cricket system. Insulation R-30 minimum per energy code, tapered for drainage. per project specification Section 07 50 00.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
This submittal covers the procurement and installation of fixed aluminum picture windows for exterior building facade per window schedule. All work to comply with per project specification Section 08 50 00. Windows to be factory-assembled and glazed.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
"Provide all labor, materials and equipment for metal roof deck 1.5-inch Type B 22 gauge for mezzanine floor deck. per SDI (Steel Deck Institute) standards. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Subcontractor bid for LED recessed troffer light fixtures 2x4. Location: for exterior site and building-mounted lighting. All fixtures to be LED with minimum 50,000-hour rated life.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"This submittal covers the furnishing and placement of foundation footing formwork for basement foundation walls. All work to comply with conforming to OSHA shoring requirements. Includes form stripping, cleaning, and concrete surface patching.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
This submittal covers the supply and installation of seismic bracing for electrical equipment for electrical raceway and wiring infrastructure. All work to comply with per project specification Section 26 05 00. Conduit fill not to exceed 40% per NEC Chapter 9.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
BID ITEM: Scope of work includes furnishing and installing of blown-in cellulose insulation for attic spaces for exterior wall cavities and stud bays. Fire rating: Class A flame spread per ASTM E84.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Scope of work includes fabrication and installation of duct-mounted fire and smoke dampers for rooftop air handling unit connections. Ductwork fabricated per SMACNA standards.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Scope of work includes furnishing and pulling of cable tray system ladder type with covers for power distribution conduit and wire pulls. As-built drawings required showing all concealed raceway routing.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Quotation for overhead coiling steel service doors for interior and exterior door openings per door schedule. Frames to be set and grouted plumb and square. per door and hardware schedule on drawings.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
PROJECT PROPOSAL: Scope of work includes furnishing and erection of structural steel canopy framing for loading dock steel structure. All connections per AISC standards and structural drawings.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Subcontractor bid for specialty antimicrobial paint for healthcare. Location: for all interior walls and ceilings. VOC content to comply with LEED IEQ v4 requirements.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Supply and install packaged rooftop air conditioning unit 25-ton for data center and server room cooling. Vibration isolation pads and curb adapter included. per AHRI certified performance ratings.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
supply and installation of glass mat gypsum sheathing for exterior including all necessary accessories and hardware. per GA (Gypsum Association) Fire Resistance Design Manual.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Furnish and install steel access hatches and floor plates as indicated on drawings and per ADA and local building code requirements. Includes all anchors, fasteners and connection hardware.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
PROJECT PROPOSAL: This submittal covers the furnishing and setting of automatic sensor faucets and flush valves for public restrooms per fixture schedule. All work to comply with per ADA and ICC/ANSI A117.1 accessibility standard. ADA fixtures mounted at heights per accessibility code.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"Request for approval: structural steel canopy framing for use for main building structural frame. Includes shop drawings, erection drawings and mill certificates. per project specification Section 05 10 00.",05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
furnishing and finishing of abuse-resistant gypsum board for corridors including all necessary accessories and hardware. per project specification Section 09 20 00.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Request for approval: rebar dowels and starter bars for use for elevated concrete slab reinforcement. Mill certifications required for all reinforcing steel. per ACI 318-19 and project structural drawings.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Vendor submittal: solid core wood doors with hardware. Fire-rated assemblies with UL listed label. per NFPA 80 fire door assembly standards.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
This submittal covers the procurement and mounting of emergency eyewash and shower station for janitor closets and service areas. All work to comply with per ADA and ICC/ANSI A117.1 accessibility standard. All fixtures to be water-efficient per WaterSense label.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"Vendor submittal: epoxy-coated rebar for exposed concrete. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs. per ASTM A615 Grade 60 specifications.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Proposal for glazing of back-painted decorative glass panels for canopy and skylight overhead glazing. Includes structural silicone sealant for wet glazing.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
"Proposal for delivery and setting of vinyl casement windows with Low-E glass for office and classroom window openings. U-factor 0.30 maximum, SHGC 0.25 maximum per energy code.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
RE: Windows – Subcontractor bid for curtain wall window system unitized. Location: for hospital patient room exterior windows. Windows to be factory-assembled and glazed.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Supply and install EPDM rubber roofing membrane fully adhered for rooftop mechanical equipment area. Membrane to be mechanically fastened or fully adhered per wind uplift. per project specification Section 07 50 00.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
"Request for approval: post-tensioning tendons and anchors for use for concrete columns and beams. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs. per ACI 318-19 and project structural drawings.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Provide all labor, materials and equipment for traffic-bearing waterproofing for parking deck for below-grade foundation walls and footings. per project specification Section 07 10 00. Surface preparation includes primer coat as recommended by manufacturer.",07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"Furnish and install radiant ceiling panel heating system as indicated on drawings and per ASME Boiler and Pressure Vessel Code for boilers. Expansion tank, air separator and chemical feeder included.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
supply and installation of headed reinforcing bar anchors including all necessary accessories and hardware. per CRSI Manual of Standard Practice.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
PROJECT PROPOSAL: Furnish and install welded wire reinforcement WWR 6x6-W2.9xW2.9 as indicated on drawings and in accordance with Section 03 20 00. Rebar to be shop-fabricated and tagged per bar schedule.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Subcontractor bid for tankless instantaneous water heater. Location: for building water treatment and softening. 5-year manufacturer warranty on heat exchanger.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
pouring and curing of concrete pump truck and placement services including all necessary accessories and hardware. per project specification Section 03 30 00.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
BID ITEM: application of traffic-bearing waterproofing for parking deck including all necessary accessories and hardware. conforming to local building code moisture protection requirements.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Request for approval: metal deck shear studs and connectors for use for metal building roof deck replacement. Deck to be welded to supports at 12 inches on center. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Scope of work includes procurement and installation of cooling tower induced draft crossflow for tenant space supplemental cooling. Factory startup and commissioning by manufacturer representative.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"RE: Plumbing Piping and Pumps – Material submittal for PVC DWV drain, waste and vent piping. Includes all valves, supports, hangers and seismic bracing. Refer to per project specification Section 22 10 00.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Request for approval: aluminum storefront entry doors for use for warehouse and loading dock openings. Frames to be set and grouted plumb and square. per door and hardware schedule on drawings.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
"Provide all labor, materials and equipment for outside air louvers with bird screen for commercial kitchen ventilation system. per project specification Section 23 30 00. Ductwork fabricated per SMACNA standards.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Proposal for shop fabrication and field erection of steel moment frame connections for main building structural frame. All connections per AISC standards and structural drawings.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
VENDOR SUBMITTAL: This submittal covers the supply and installation of veneer plaster system over blueboard for bathroom and kitchen wet-area walls. All work to comply with per GA (Gypsum Association) Fire Resistance Design Manual. Partitions to achieve fire rating per UL assembly design.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
VENDOR SUBMITTAL: Request for approval: self-consolidating concrete (SCC) for use for slab-on-grade in warehouse area. Water-to-cement ratio not to exceed 0.45. per project specification Section 03 30 00.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Quotation for steel access hatches and floor plates for building perimeter bollard protection. Includes all anchors, fasteners and connection hardware. per architectural detail drawings.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
Subcontractor bid for metal deck pour stops and closures. Location: for parking garage composite deck system. Minimum bearing length 2 inches on structural steel supports.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
furnishing and commissioning of air-cooled scroll chiller 100-ton capacity including all necessary accessories and hardware. per ASHRAE 90.1 minimum efficiency requirements.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Proposal for delivery and startup of water softener and treatment system for drinking water cooling and dispensing. Unit to be seismic-rated for installation zone.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Quotation for galvanized corrugated steel decking for composite floor system at all elevated levels. Includes temporary shoring during concrete placement. per SDI (Steel Deck Institute) standards.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"BID ITEM: Subcontractor bid for roof walkway pads and protection mats. Location: for low-slope roof area approximately 45,000 square feet. Membrane to be mechanically fastened or fully adhered per wind uplift.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Proposal for application of fluid-applied rubberized asphalt waterproofing for elevator pit and mechanical room. Surface preparation includes primer coat as recommended by manufacturer.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"BID ITEM: Quotation for high-performance epoxy wall coating for wet areas for exposed structural steel fireproofing. Includes surface preparation, sanding and priming. per project specification Section 09 90 00.",09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
placement of fiber reinforcing mesh for slab-on-grade including all necessary accessories and hardware. in accordance with Section 03 20 00.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Provide all labor, materials and equipment for crystalline waterproofing admixture for concrete for below-grade foundation walls and footings. per ASTM D6153 for liquid-applied waterproofing. Includes protection board and drainage composite.",07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
SCOPE OF WORK DESCRIPTION: Vendor submittal: steel braced frame lateral system. Steel to be blast-cleaned and primed with shop primer. conforming to AWS D1.1 for welded connections.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
VENDOR SUBMITTAL: Proposal for procurement and installation of sheet vinyl flooring for healthcare corridors for office spaces and conference rooms. Moisture testing required per ASTM F2170 before installation.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
VENDOR SUBMITTAL: Material submittal for mini-split ductless air conditioning system. Controls: BACnet compatible DDC for building automation integration. Refer to per mechanical schedule on drawings.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Subcontractor bid for steel fixed-lite windows for industrial. Location: for residential tower window replacement. Color: clear anodized aluminum or custom RAL color.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Scope of work includes delivery and startup of expansion tank for domestic water system for drinking water cooling and dispensing. Unit to be seismic-rated for installation zone.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Subcontractor bid for rigid XPS foam insulation board 2-inch thick. Location: for exterior wall cavities and stud bays. R-value verified by third-party testing per ASTM C518.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
installation of polished concrete floor with densifier and sealer including all necessary accessories and hardware. per TCNA Handbook for tile installations.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Vendor submittal: automatic transfer switch (ATS) 400A. Arc flash study and labels required per NFPA 70E. per NFPA 110 for emergency power systems.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
supply and installation of main electrical switchboard 2000A 480/277V including all necessary accessories and hardware. per project specification Section 26 20 00.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
"Subject: Material Submittal – Provide all labor, materials and equipment for metal roof deck 1.5-inch Type B 22 gauge for composite floor system at all elevated levels. per composite design per AISC 360 Chapter I. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Scope of work includes furnishing and finishing of sound-rated gypsum board assembly STC 50 for fire-rated corridor and stairwell assemblies. Metal studs at 16 inches on center, bridging at mid-height.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
RE: Lighting – This submittal covers the supply and installation of parking garage LED fixtures with daylight sensor for exterior site and building-mounted lighting. All work to comply with per NEC Article 410 and local energy code. Includes dimming drivers compatible with 0-10V control system.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"SCOPE OF WORK DESCRIPTION: Supply and install explosion-proof lighting for hazardous locations for warehouse and industrial high-bay areas. Color temperature: 4000K for offices, 3000K for corridors. per NEC Article 410 and local energy code.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"RE: Plaster and Gypsum Board – Supply and install shaft wall liner and C-H stud system for fire-rated corridor and stairwell assemblies. Metal studs at 16 inches on center, bridging at mid-height. per ASTM C840 gypsum board application standard.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Scope of work includes furnishing and connecting of ductwork insulation wrap and lining for data center precision air distribution. Duct leakage testing per SMACNA Class A seal requirement.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"Quotation for polished concrete floor with densifier and sealer for lobby, corridors and common areas. Includes all floor preparation, leveling and patching. per project specification Section 09 60 00.",09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Subcontractor bid for evaporative condenser for refrigeration. Location: for data center and server room cooling. Controls: BACnet compatible DDC for building automation integration.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
PROJECT PROPOSAL: Scope of work includes delivery and wiring of explosion-proof lighting for hazardous locations for exterior site and building-mounted lighting. Emergency fixtures with 90-minute battery backup per code.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"BID ITEM: Subcontractor bid for diesel emergency standby generator 500 kW. Location: for main electrical service and distribution. Includes circuit breakers, fuses and all internal components.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Subcontractor bid for packaged rooftop air conditioning unit 25-ton. Location: for data center and server room cooling. Vibration isolation pads and curb adapter included.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Provide all labor, materials and equipment for standing seam metal roof panels 24-gauge for green roof system over parking structure. per project specification Section 07 50 00. Insulation R-30 minimum per energy code, tapered for drainage.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
"PROJECT PROPOSAL: Provide all labor, materials and equipment for exposed aggregate decorative concrete for elevated concrete slabs at all levels. per ACI 318 and ACI 301 specifications. Concrete to be cured with wet burlap and plastic sheeting for 7 days.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Provide all labor, materials and equipment for domestic water booster pump station for restroom and kitchen plumbing rough-in. per Uniform Plumbing Code (UPC). Piping to be pressure tested at 1.5x operating pressure.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Furnish and install roofing penetration flashings and pitch pockets as indicated on drawings and per project specification Section 07 50 00. Remove existing roofing to deck and install new system complete.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Subcontractor bid for rebar dowels and starter bars. Location: for concrete columns and beams. Bar supports at maximum 4-foot spacing.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
furnishing and laying of sheet vinyl flooring for healthcare corridors including all necessary accessories and hardware. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
RE: Concrete Reinforcing – Material submittal for post-tensioning tendons and anchors. Lap splices per ACI 318 development length requirements. Refer to in accordance with Section 03 20 00.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Scope of work includes delivery and wiring of exterior LED wall pack and pole-mounted fixtures for interior lighting per reflected ceiling plan. All fixtures to be LED with minimum 50,000-hour rated life.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"Request for approval: drywall finishing including taping, mudding and sanding for use for fire-rated corridor and stairwell assemblies. Metal studs at 16 inches on center, bridging at mid-height. per UL listed assembly design number.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"PROJECT PROPOSAL: Furnish and install automatic transfer switch (ATS) 400A as indicated on drawings and per project specification Section 26 20 00. Includes circuit breakers, fuses and all internal components.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
"Subject: Material Submittal – Supply and install flexible insulated duct for branch connections for commercial kitchen ventilation system. Includes all hangers, supports and seismic bracing per code. per ASHRAE 90.1 duct insulation requirements.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
This submittal covers the installation of CPVC hot and cold water distribution piping for building domestic water distribution system. All work to comply with per Uniform Plumbing Code (UPC). Piping to be pressure tested at 1.5x operating pressure.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Request for approval: back-painted decorative glass panels for use for canopy and skylight overhead glazing. Glass thickness and type per structural analysis for wind loads. per IGCC standards for insulating glass.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Request for approval: sheet vinyl flooring for healthcare corridors for use for commercial kitchen and food prep areas. Base: 4-inch rubber or tile cove base at all walls. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"Vendor submittal: acoustic insulation for interior partitions. Insulation to be installed without gaps, voids or compression. per ASHRAE 90.1 energy code requirements.",07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Request for approval: form release agent and accessories for use for retaining wall per structural drawings. Includes all bracing, wedges, and form oil. conforming to OSHA shoring requirements.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
"Furnish and install water softener and treatment system as indicated on drawings and per NSF/ANSI 61 for drinking water components. Equipment includes mounting, piping connections and startup.",22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Supply and install LED strip lighting for cove and accent for exterior site and building-mounted lighting. Lighting controls to include occupancy sensors per energy code. per DesignLights Consortium (DLC) qualified products list.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Supply and install metal deck pour stops and closures for metal building roof deck replacement. Includes temporary shoring during concrete placement. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Scope of work includes installation of sump pump and pit with float switch for mechanical room plumbing connections. Includes all valves, supports, hangers and seismic bracing.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
SCOPE OF WORK DESCRIPTION: Request for approval: curved gypsum board soffits and bulkheads for use for fire-rated corridor and stairwell assemblies. Taping and finishing to Level 4 finish per ASTM C840. per project specification Section 09 20 00.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Provide all labor, materials and equipment for supply air diffusers and return air grilles for HVAC air distribution throughout building. per ASHRAE 90.1 duct insulation requirements. Includes all hangers, supports and seismic bracing per code.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
RE: Plaster and Gypsum Board – Furnish and install veneer plaster system over blueboard as indicated on drawings and per GA (Gypsum Association) Fire Resistance Design Manual. Taping and finishing to Level 4 finish per ASTM C840.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Subject: Material Submittal – Subcontractor bid for galvanized corrugated steel decking. Location: for metal building roof deck replacement. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"VENDOR SUBMITTAL: Provide all labor, materials and equipment for foam board insulation for slab edge for exterior wall cavities and stud bays. per project specification Section 07 20 00. Insulation to be unfaced or kraft-faced as indicated.",07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Material submittal for moisture-resistant (green board) gypsum in wet areas. Partitions to achieve fire rating per UL assembly design. Refer to per UL listed assembly design number.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Request for approval: stainless steel commercial kitchen sink triple-bowl for use for commercial kitchen and break rooms. Includes all trim, supplies, stops and connection fittings. per ASME A112.19.2 for vitreous china fixtures.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
BID ITEM: supply and installation of 1-inch insulated glazing units (IGU) Low-E coated including all necessary accessories and hardware. per project specification Section 08 80 00.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
furnishing and connecting of point-of-use water filtration system including all necessary accessories and hardware. per project specification Section 22 30 00.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
